t,px,py,pz,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz,T,wx_cmd,wy_cmd,wz_cmd,solve_ms,t_progress,px_ref,py_ref,pz_ref,qw_ref,qx_ref,qy_ref,qz_ref
0.79,5.26481,1.09732,2.24545,3.85476,0.95811,-0.767677,0.947951,0.256168,-0.188984,-0.00721144,-0.00497766,-0.413385,-1.36933,8.90189,-0.106829,-0.2798,-1.41717,0.219207,0.79,5.4538,1.19163,2.21069,0.960925,0.233734,-0.148004,0.0093297
0.8,5.3032,1.10669,2.23762,3.82391,0.917192,-0.798236,0.947531,0.257352,-0.18908,-0.0142584,-0.0338459,-0.375522,-1.38289,8.94506,-0.134945,-0.248207,-1.42761,0.215507,0.8,5.48598,1.19752,2.20473,0.960931,0.234588,-0.146889,0.00192823
0.81,5.34129,1.11566,2.22949,3.79262,0.87614,-0.828566,0.947134,0.258402,-0.188972,-0.0213463,-0.0625011,-0.339436,-1.39557,8.98393,-0.162654,-0.218534,-1.43718,0.21623,0.81,5.51797,1.2031,2.19837,0.960918,0.235328,-0.145694,-0.00554716
0.82,5.37905,1.12422,2.22105,3.76091,0.834996,-0.858674,0.946756,0.259319,-0.18867,-0.0284725,-0.090888,-0.305168,-1.40736,9.019,-0.189903,-0.190785,-1.44589,0.215634,0.82,5.54976,1.20837,2.19161,0.960882,0.235956,-0.144424,-0.0130918
0.83,5.4165,1.13236,2.21232,3.72884,0.7938,-0.888568,0.946395,0.260104,-0.188181,-0.0356343,-0.118952,-0.272748,-1.41828,9.05074,-0.216644,-0.164949,-1.45377,0.215796,0.83,5.58136,1.21334,2.18445,0.960822,0.236473,-0.143083,-0.0207008
0.84,5.45363,1.14009,2.20328,3.69643,0.752586,-0.918248,0.946049,0.260759,-0.187515,-0.0428291,-0.146642,-0.242194,-1.42834,9.07962,-0.242831,-0.141013,-1.46082,0.218706,0.84,5.61276,1.21799,2.17689,0.960734,0.236879,-0.141678,-0.0283695
0.85,5.49043,1.14741,2.19395,3.66373,0.711387,-0.947715,0.945714,0.261285,-0.186681,-0.0500542,-0.173905,-0.213515,-1.43755,9.1061,-0.26842,-0.11895,-1.46706,0.228302,0.85,5.64397,1.22233,2.16895,0.960617,0.237176,-0.140212,-0.0360928
0.86,5.5269,1.15432,2.18433,3.63076,0.670234,-0.976964,0.945387,0.261685,-0.185687,-0.0573072,-0.200694,-0.186712,-1.44591,9.13059,-0.293369,-0.0987291,-1.47251,0.241418,0.86,5.67497,1.22636,2.16062,0.960468,0.237365,-0.138691,-0.0438657
0.87,5.56304,1.16082,2.17441,3.59755,0.629153,-1.00599,0.945066,0.261961,-0.184544,-0.0645854,-0.226961,-0.161775,-1.45345,9.1535,-0.317641,-0.0803124,-1.47718,0.532046,0.87,5.70577,1.23007,2.1519,0.960284,0.237448,-0.137119,-0.0516832
0.88,5.59885,1.1669,2.16421,3.56413,0.58817,-1.03478,0.944746,0.262113,-0.183259,-0.0718862,-0.252663,-0.138685,-1.46018,9.17521,-0.341199,-0.0636557,-1.4811,0.257236,0.88,5.73636,1.23347,2.14282,0.960064,0.237426,-0.135502,-0.0595402
0.89,5.63433,1.17258,2.15372,3.53053,0.547306,-1.06333,0.944426,0.262145,-0.181843,-0.0792071,-0.277757,-0.117419,-1.46611,9.19609,-0.364012,-0.0487101,-1.48428,0.243906,0.89,5.76675,1.23656,2.13336,0.959806,0.2373,-0.133844,-0.0674316
0.9,5.66946,1.17785,2.14294,3.49678,0.506581,-1.09163,0.944101,0.262058,-0.180303,-0.0865454,-0.302205,-0.0979445,-1.47126,9.21648,-0.38605,-0.0354223,-1.48674,0.21779,0.9,5.79692,1.23932,2.12354,0.959507,0.237074,-0.13215,-0.0753524
0.91,5.70426,1.18271,2.13189,3.46289,0.466013,-1.11966,0.943769,0.261855,-0.178649,-0.0938987,-0.32597,-0.0802234,-1.47565,9.23669,-0.407287,-0.0237353,-1.48851,0.217394,0.91,5.82689,1.24177,2.11336,0.959167,0.236749,-0.130425,-0.0832975
0.92,5.73872,1.18717,2.12055,3.42888,0.425618,-1.1474,0.943427,0.261538,-0.176889,-0.101264,-0.349018,-0.0642126,-1.47929,9.25702,-0.427699,-0.0135892,-1.48962,0.215966,0.92,5.85664,1.2439,2.10282,0.958782,0.236327,-0.128673,-0.0912617
0.93,5.77284,1.19123,2.10894,3.39478,0.38541,-1.17484,0.943071,0.26111,-0.175032,-0.10864,-0.371319,-0.0498641,-1.48222,9.27774,-0.447267,-0.00492165,-1.49007,0.217118,0.93,5.88618,1.24572,2.09194,0.958353,0.235811,-0.1269,-0.0992403
0.94,5.80661,1.19488,2.09706,3.36059,0.345401,-1.20196,0.942699,0.260572,-0.173085,-0.116022,-0.392846,-0.0371258,-1.48445,9.29911,-0.465973,0.00233147,-1.48991,0.217545,0.94,5.9155,1.24721,2.08072,0.957877,0.235204,-0.125109,-0.107228
